"Materialnummer","Vorgangsfolge","Anzahl"
323,"0010 -> 0020 -> 0030 -> 0040 -> 0050",2
324,"0010 -> 0020 -> 0030 -> 0040 -> 0050",3
325,"0010 -> 0020 -> 0030",1
326,"0010 -> 0020 -> 0030",2
327,"0010 -> 0020 -> 0030",1
328,"0010 -> 0020 -> 0030",1
329,"0010 -> 0020 -> 0030",3
330,"0010 -> 0020 -> 0030 -> 0040 -> 0050 -> 0060",4
331,"0010 -> 0020 -> 0030 -> 0040 -> 0050 -> 0060",16
332,"0010 -> 0020 -> 0030 -> 0040 -> 0050 -> 0060",7
333,"0010 -> 0020 -> 0030 -> 0040 -> 0050",14
334,"0010 -> 0020 -> 0030 -> 0040",3
335,"0010 -> 0020 -> 0030 -> 0040",1
336,"0010 -> 0020 -> 0030 -> 0040",1
337,"0010 -> 0020 -> 0030 -> 0040",2
338,"0010 -> 0020 -> 0030",14
339,"0010",7
340,"0010",13
341,"0010 -> 0020",4
342,"0010 -> 0020",7
343,"0010 -> 0020 -> 0030 -> 0040",3
343,"0010 -> 0020",1
344,"0010 -> 0020 -> 0030 -> 0040",6
344,"0010 -> 0020",2
345,"0010 -> 0020",2
345,"0010 -> 0020 -> 0030 -> 0040",1
346,"0010",2
347,"0010 -> 0020",6
348,"0010 -> 0020 -> 0030",2
349,"0010 -> 0020",1
350,"0010",8
351,"0010 -> 0020 -> 0030",3
352,"0010 -> 0020 -> 0030 -> 0040",5
353,"0010",3
354,"0010 -> 0020 -> 0030 -> 0040 -> 0050",6
355,"0010 -> 0020 -> 0030 -> 0040",6
356,"0010 -> 0020 -> 0030 -> 0040 -> 0050",8
357,"0010 -> 0020",3
357,"0010 -> 0020 -> 0030 -> 0040",2
358,"0010 -> 0020",2
358,"0010 -> 0020 -> 0030 -> 0040",2
359,"0010 -> 0020 -> 0030 -> 0040",8
360,"0010 -> 0020 -> 0030 -> 0040",6
360,"0010 -> 0020",1
361,"0010",13
361,"0010 -> 0020",12
362,"0010",3
363,"0010",1
364,"0010 -> 0020",2
364,"0010",1
365,"0010 -> 0020",6
365,"0010",2
366,"0010 -> 0020 -> 0030 -> 0040 -> 0050",2
367,"0010 -> 0020",2
368,"0010 -> 0020 -> 0030 -> 0040 -> 0050",2
368,"0010 -> 0020",1
369,"0010 -> 0020 -> 0030 -> 0040 -> 0050",3
369,"0010 -> 0020",2
370,"0010 -> 0020 -> 0030 -> 0040",7
370,"0010 -> 0020",5
371,"0010 -> 0020",5
371,"0010 -> 0020 -> 0030 -> 0040",4
372,"0010 -> 0020 -> 0030 -> 0040",3
372,"0010 -> 0020",2
373,"0010 -> 0020",2
373,"0010 -> 0020 -> 0030 -> 0040",2
374,"0010 -> 0020",6
374,"0010 -> 0020 -> 0030 -> 0040",3
375,"0010 -> 0020",1
375,"0010 -> 0020 -> 0030 -> 0040",1
376,"0010 -> 0020 -> 0030 -> 0040",2
376,"0010 -> 0020",1
